photoelectric and axioelectric cross sections.
The axioelectric cross sections assumes gae=1 and scales as gae^2
 
col1: E[keV]   	col2: sigma_pe[cm^2]    	col3: sigma_a[cm^2]
0.010665367404682515	1.3259810419981657e-16	3.1486752008148887e-25
0.010689953615738577	1.0747964444606087e-16	2.563992614317077e-25
0.010714596503864561	8.711945046245334e-17	2.0878806821900344e-25
0.010739296199714598	7.061614957880892e-17	1.7001787441667902e-25
0.010764052834244026	5.723911887490163e-17	1.3844698055658948e-25
0.010788866538710046	4.639613953914113e-17	1.1273853699794998e-25
0.01081373744467246	3.76071785598228e-17	9.180393587018236e-26
0.010838665683994327	3.0483137029910015e-17	7.475671465747526e-26
0.010863651388842698	2.4708624224656642e-17	6.087501950114163e-26
0.010888694691689283	2.002799483781087e-17	4.957103875208881e-26
0.010913795725311192	1.6234031226355465e-17	4.0366112456274274e-26
0.010938954622791595	1.3158769611861134e-17	3.2870463800075197e-26
0.010964171517520473	1.066606410223743e-17	2.6766694256287243e-26
0.010989446543195282	8.596094870726907e-18	2.1671638549694994e-26
0.011014779833821702	6.914284658034245e-18	1.751208288385912e-26
0.011040171523714306	5.561517532238099e-18	1.4150893400512153e-26
0.011065621747497319	4.473416816221142e-18	1.143483532831021e-26
0.01109113064010528	3.59820101180156e-18	9.240085080483065e-27
0.011116698336783814	2.8942195760478842e-18	7.466585205925994e-27
0.01114232497309029	2.327970818446659e-18	6.033482825294669e-27
0.011168010684894593	1.872507592854881e-18	4.875443592906679e-27
0.0111937556083798	1.5061549129034719e-18	3.93967314002506e-27
0.011219559880042942	1.2114784635957315e-18	3.183510208756381e-27
0.01124542363669569	1.0302533727668564e-18	2.7197851219996116e-27
0.011271347015465116	9.59628045502332e-19	2.5450333675535168e-27
0.011297330153794385	8.938441844082514e-19	2.3815097705949665e-27
0.01132337318944352	8.325699001243889e-19	2.2284928990503463e-27
0.01134947626049009	7.820883272062199e-19	2.10303428455141e-27
0.011375639505329993	7.497660771023722e-19	2.0254257909392535e-27
0.011401863062678137	7.187796452372549e-19	1.9506812916637676e-27
0.011428147071569222	6.890738247375359e-19	1.8786950964431158e-27
0.011454491671358438	6.605956903268827e-19	1.8093654152950028e-27
0.011480897001722242	6.332945040317964e-19	1.7425942146034596e-27
0.011507363202659052	6.111310552644294e-19	1.689370484345361e-27
0.011533890414490048	6.072620293571859e-19	1.686423616346836e-27
0.011560478777859848	6.034174979693176e-19	1.683481888742974e-27
0.011587128433737326	5.995973060278082e-19	1.6805452925670596e-27
0.011613839523416287	5.958012994414169e-19	1.6776138188680643e-27
0.011640612188516286	5.920293250944239e-19	1.674687458710529e-27
0.011667446570983314	5.882812308404932e-19	1.6717662031746268e-27
0.011694342813090607	5.845568654965013e-19	1.668850043356056e-27
0.011721301057439354	5.808560788364543e-19	1.6659389703660416e-27
0.011748321446959491	5.771787215854424e-19	1.6630329753313606e-27
0.011775404124910425	5.740454046249066e-19	1.6616394459178725e-27
0.011802549234881828	5.832663157456386e-19	1.6961233967394993e-27
0.011829756920794361	5.9263534267953e-19	1.7313229919009306e-27
0.011857027326900476	6.021548646159977e-19	1.7672530831465123e-27
0.011884360597785141	6.118272989614457e-19	1.803928830438324e-27
0.01191175687836665	6.216551019531748e-19	1.8413657083527073e-27
0.01193921631389734	6.316407692831107e-19	1.8795795126093893e-27
0.01196673904996442	6.41786836731549e-19	1.918586366736132e-27
0.011994325232490683	6.52095880811127e-19	1.9584027288717957e-27
0.012021975007735337	6.625705194210936e-19	1.999045398710485e-27
0.012049688522294724	6.732134125120873e-19	2.0405315245897672e-27
0.012077465923103152	6.840272627616418e-19	2.0828786107261724e-27
0.012105307357433622	6.950148162604931e-19	2.126104524600677e-27
0.01213321297289866	7.452782800598967e-19	2.2903877560688e-27
0.012161182917451049	8.041786287541757e-19	2.4828076577314848e-27
0.012189217339384663	8.677339515287935e-19	2.691393127192846e-27
0.012217316387335204	9.363121372700943e-19	2.917502265044203e-27
0.01224548021028104	1.0068295927347047e-18	3.1517119662257208e-27
0.012273708957543945	1.0820952984895471e-18	3.4029538464016694e-27
0.012302002778789936	1.1629875040052849e-18	3.674223725021284e-27
0.012330361824030026	1.249926819163133e-18	3.967118154066075e-27
0.012358786243621064	1.3434070620654867e-18	4.283494126703868e-27
0.01238727618826648	1.4438868744632587e-18	4.625127584323103e-27
0.012415831809017135	1.5518820505840856e-18	4.994008288212109e-27
